年月,區域別,性別,原住民人口數_合計數量,原住民人口數_平地原住民數量,原住民人口數_山地原住民數量
110年12月,松山區,女,555,304,251
110年12月,信義區,計,1104,606,498
110年12月,信義區,男,448,253,195
110年12月,信義區,女,656,353,303
110年12月,大安區,計,1129,601,528
110年12月,大安區,男,474,266,208
110年12月,大安區,女,655,335,320
110年12月,中山區,計,1399,766,633
110年12月,中山區,男,555,325,230
110年12月,中山區,女,844,441,403
110年12月,中正區,計,773,445,328
110年12月,中正區,男,349,213,136
110年12月,中正區,女,424,232,192
110年12月,大同區,計,766,412,354
110年12月,大同區,男,350,190,160
110年12月,大同區,女,416,222,194
110年12月,萬華區,計,1395,747,648
110年12月,萬華區,男,597,326,271
110年12月,萬華區,女,798,421,377
110年12月,文山區,計,2210,1197,1013
110年12月,文山區,男,974,523,451
110年12月,文山區,女,1236,674,562
110年12月,南港區,計,1488,1036,452
110年12月,南港區,男,660,471,189
110年12月,南港區,女,828,565,263
110年12月,內湖區,計,2454,1614,840
110年12月,內湖區,男,1047,711,336
110年12月,內湖區,女,1407,903,504
110年12月,士林區,計,1719,981,738
110年12月,士林區,男,737,433,304
110年12月,士林區,女,982,548,434
110年12月,北投區,計,1690,1004,686
110年12月,北投區,男,729,451,278
110年12月,北投區,女,961,553,408
