year,month,nationality,job_type,count
2023,11,越南,農、林、漁、牧,8
2023,12,印尼,農、林、漁、牧,112
2023,12,菲律賓,農、林、漁、牧,6
2023,12,泰國,農、林、漁、牧,3
2023,12,越南,農、林、漁、牧,8
2024,1,印尼,農、林、漁、牧,113
2024,1,菲律賓,農、林、漁、牧,5
2024,1,泰國,農、林、漁、牧,3
2024,1,越南,農、林、漁、牧,7
2024,2,印尼,農、林、漁、牧,100
2024,2,菲律賓,農、林、漁、牧,5
2024,2,泰國,農、林、漁、牧,3
2024,2,越南,農、林、漁、牧,7
2024,3,印尼,農、林、漁、牧,104
2024,3,菲律賓,農、林、漁、牧,5
2024,3,泰國,農、林、漁、牧,2
2024,3,越南,農、林、漁、牧,8
2024,4,印尼,農、林、漁、牧,86
2024,4,菲律賓,農、林、漁、牧,4
2024,4,泰國,農、林、漁、牧,2
2024,4,越南,農、林、漁、牧,9
2024,5,印尼,農、林、漁、牧,88
2024,5,菲律賓,農、林、漁、牧,4
2024,5,泰國,農、林、漁、牧,2
2024,5,越南,農、林、漁、牧,7
2024,6,印尼,農、林、漁、牧,94
2024,6,菲律賓,農、林、漁、牧,4
2024,6,泰國,農、林、漁、牧,2
2024,6,越南,農、林、漁、牧,8
2024,7,印尼,農、林、漁、牧,94
2024,7,菲律賓,農、林、漁、牧,3
2024,7,泰國,農、林、漁、牧,2
2024,7,越南,農、林、漁、牧,9
2024,8,印尼,農、林、漁、牧,94
2024,8,菲律賓,農、林、漁、牧,2
2024,8,泰國,農、林、漁、牧,4
2024,8,越南,農、林、漁、牧,12
2024,9,印尼,農、林、漁、牧,87
2024,9,菲律賓,農、林、漁、牧,2
2024,9,泰國,農、林、漁、牧,4
2024,9,越南,農、林、漁、牧,10
2024,10,印尼,農、林、漁、牧,85
2024,10,菲律賓,農、林、漁、牧,3
2024,10,泰國,農、林、漁、牧,4
2024,10,越南,農、林、漁、牧,10
2024,11,印尼,農、林、漁、牧,92
2024,11,菲律賓,農、林、漁、牧,4
2024,11,泰國,農、林、漁、牧,4
2024,11,越南,農、林、漁、牧,9
2024,12,印尼,農、林、漁、牧,95
2024,12,菲律賓,農、林、漁、牧,4
2024,12,泰國,農、林、漁、牧,4
2024,12,越南,農、林、漁、牧,7
2025,1,印尼,農、林、漁、牧,84
2025,1,菲律賓,農、林、漁、牧,4
2025,1,泰國,農、林、漁、牧,4
2025,1,越南,農、林、漁、牧,7
2025,2,印尼,農、林、漁、牧,87
2025,2,菲律賓,農、林、漁、牧,4
2025,2,泰國,農、林、漁、牧,4
2025,2,越南,農、林、漁、牧,6
2025,3,印尼,農、林、漁、牧,86
2025,3,菲律賓,農、林、漁、牧,4
2025,3,泰國,農、林、漁、牧,4
2025,3,越南,農、林、漁、牧,4
2025,4,印尼,農、林、漁、牧,79
2025,4,菲律賓,農、林、漁、牧,4
