"統計期","縣市別/國籍別","農、林、漁、牧","製造","營建","看護工","家庭幫傭"
"107年 1月底","新北市/ 其他",－,－,－,－,－
"107年 2月底","新北市/ 印尼",1305,6077,9,27308,131
"107年 2月底","新北市/ 馬來西亞",－,－,－,－,－
"107年 2月底","新北市/ 菲律賓",214,7947,－,4058,51
"107年 2月底","新北市/ 泰國",4,6954,934,55,－
"107年 2月底","新北市/ 越南",267,24455,255,3179,2
"107年 2月底","新北市/ 蒙古",－,－,－,－,－
"107年 2月底","新北市/ 其他",－,－,－,－,－
"107年 3月底","新北市/ 印尼",1264,6109,27,27294,129
"107年 3月底","新北市/ 馬來西亞",－,－,－,－,－
"107年 3月底","新北市/ 菲律賓",217,7985,－,4063,52
"107年 3月底","新北市/ 泰國",4,6901,944,54,－
"107年 3月底","新北市/ 越南",244,24382,236,3153,2
"107年 3月底","新北市/ 蒙古",－,－,－,－,－
"107年 3月底","新北市/ 其他",－,－,－,－,－
"107年 4月底","新北市/ 印尼",1295,6140,27,27371,133
"107年 4月底","新北市/ 馬來西亞",－,－,－,－,－
"107年 4月底","新北市/ 菲律賓",220,8113,－,4055,49
"107年 4月底","新北市/ 泰國",4,6861,919,53,－
"107年 4月底","新北市/ 越南",232,24692,206,3121,3
"107年 4月底","新北市/ 蒙古",－,－,－,－,－
"107年 4月底","新北市/ 其他",－,－,－,－,－
"107年 5月底","新北市/ 印尼",1339,6264,29,27441,131
"107年 5月底","新北市/ 馬來西亞",－,－,－,－,－
"107年 5月底","新北市/ 菲律賓",218,8163,－,4068,47
"107年 5月底","新北市/ 泰國",3,6847,902,51,－
"107年 5月底","新北市/ 越南",230,25162,193,3153,4
"107年 5月底","新北市/ 蒙古",－,－,－,－,－
"107年 5月底","新北市/ 其他",－,－,－,－,－
"107年 6月底","新北市/ 印尼",1350,6305,28,27389,131
"107年 6月底","新北市/ 馬來西亞",－,－,－,－,－
"107年 6月底","新北市/ 菲律賓",222,8197,－,4081,48
"107年 6月底","新北市/ 泰國",3,6874,882,51,－
"107年 6月底","新北市/ 越南",220,25460,165,3177,4
"107年 6月底","新北市/ 蒙古",－,－,－,－,－
"107年 6月底","新北市/ 其他",－,－,－,－,－
"107年 7月底","新北市/ 印尼",1343,6301,28,27290,134
"107年 7月底","新北市/ 馬來西亞",－,－,－,－,－
"107年 7月底","新北市/ 菲律賓",221,8152,－,4121,42
"107年 7月底","新北市/ 泰國",3,6977,857,50,－
"107年 7月底","新北市/ 越南",222,25766,158,3199,4
"107年 7月底","新北市/ 蒙古",－,－,－,－,－
"107年 7月底","新北市/ 其他",－,－,－,－,－
"107年 8月底","新北市/ 印尼",1348,6379,28,27455,143
"107年 8月底","新北市/ 馬來西亞",－,－,－,－,－
"107年 8月底","新北市/ 菲律賓",215,8173,－,4163,44
"107年 8月底","新北市/ 泰國",3,6941,902,53,－
"107年 8月底","新北市/ 越南",237,26073,140,3250,3
"107年 8月底","新北市/ 蒙古",－,－,－,－,－
"107年 8月底","新北市/ 其他",－,－,－,－,－
"107年 9月底","新北市/ 印尼",1369,6411,28,27582,139
"107年 9月底","新北市/ 馬來西亞",－,－,－,－,－
"107年 9月底","新北市/ 菲律賓",215,8259,－,4209,42
"107年 9月底","新北市/ 泰國",3,6904,886,54,－
"107年 9月底","新北市/ 越南",251,26215,129,3288,3
"107年 9月底","新北市/ 蒙古",－,－,－,－,－
"107年 9月底","新北市/ 其他",－,－,－,－,－
"107年 10月底","新北市/ 印尼",1408,6542,29,27783,140
"107年 10月底","新北市/ 馬來西亞",－,－,－,－,－
"107年 10月底","新北市/ 菲律賓",220,8374,－,4240,41
"107年 10月底","新北市/ 泰國",3,6919,843,53,－
"107年 10月底","新北市/ 越南",282,26559,93,3252,3
"107年 10月底","新北市/ 蒙古",－,－,－,－,－
"107年 10月底","新北市/ 其他",－,－,－,－,－
"107年 11月底","新北市/ 印尼",1408,6569,29,28051,139
"107年 11月底","新北市/ 馬來西亞",－,－,－,－,－
"107年 11月底","新北市/ 菲律賓",218,8573,－,4250,38
"107年 11月底","新北市/ 泰國",3,6912,729,52,－
"107年 11月底","新北市/ 越南",288,26562,85,3285,3
"107年 11月底","新北市/ 蒙古",－,－,－,－,－
"107年 11月底","新北市/ 其他",－,－,－,－,－
"107年 12月底","新北市/ 印尼",1411,6601,28,28212,136
