"統計期","縣市別/國籍別","農、林、漁、牧","製造","營建","看護工","家庭幫傭"
"106年 1月底","臺北市/ 馬來西亞",－,－,－,－,－
"106年 1月底","臺北市/ 菲律賓",19,97,56,5511,220
"106年 1月底","臺北市/ 泰國",2,45,1079,74,7
"106年 1月底","臺北市/ 越南",4,578,184,1628,5
"106年 1月底","臺北市/ 蒙古",－,－,－,－,－
"106年 1月底","臺北市/ 其他",－,－,－,－,1
"106年 2月底","臺北市/ 印尼",35,156,577,27180,305
"106年 2月底","臺北市/ 馬來西亞",－,－,－,－,－
"106年 2月底","臺北市/ 菲律賓",18,95,54,5598,227
"106年 2月底","臺北市/ 泰國",2,49,1042,73,6
"106年 2月底","臺北市/ 越南",4,575,194,1664,6
"106年 2月底","臺北市/ 蒙古",－,－,－,－,－
"106年 2月底","臺北市/ 其他",－,－,－,－,－
"106年 3月底","臺北市/ 印尼",35,163,581,27449,299
"106年 3月底","臺北市/ 馬來西亞",－,－,－,－,－
"106年 3月底","臺北市/ 菲律賓",18,97,54,5639,234
"106年 3月底","臺北市/ 泰國",2,51,984,72,7
"106年 3月底","臺北市/ 越南",5,593,197,1686,6
"106年 3月底","臺北市/ 蒙古",－,－,－,－,－
"106年 3月底","臺北市/ 其他",－,－,－,－,－
"106年 4月底","臺北市/ 印尼",37,172,551,27552,307
"106年 4月底","臺北市/ 馬來西亞",－,－,－,－,－
"106年 4月底","臺北市/ 菲律賓",18,104,53,5664,240
"106年 4月底","臺北市/ 泰國",2,52,917,73,6
"106年 4月底","臺北市/ 越南",7,615,206,1700,6
"106年 4月底","臺北市/ 蒙古",－,－,－,－,－
"106年 4月底","臺北市/ 其他",－,－,－,－,－
"106年 5月底","臺北市/ 印尼",39,205,500,27440,315
"106年 5月底","臺北市/ 馬來西亞",－,－,－,－,－
"106年 5月底","臺北市/ 菲律賓",16,107,23,5647,240
"106年 5月底","臺北市/ 泰國",2,52,855,71,6
"106年 5月底","臺北市/ 越南",8,619,195,1700,7
"106年 5月底","臺北市/ 蒙古",－,－,－,－,－
"106年 5月底","臺北市/ 其他",－,－,－,－,－
"106年 6月底","臺北市/ 印尼",38,210,472,27496,315
"106年 6月底","臺北市/ 馬來西亞",－,－,－,－,－
"106年 6月底","臺北市/ 菲律賓",17,118,21,5707,244
"106年 6月底","臺北市/ 泰國",1,51,848,71,6
"106年 6月底","臺北市/ 越南",6,607,193,1762,7
"106年 6月底","臺北市/ 蒙古",－,－,－,－,－
"106年 6月底","臺北市/ 其他",－,－,－,－,－
"106年 7月底","臺北市/ 印尼",36,208,455,27495,310
"106年 7月底","臺北市/ 馬來西亞",－,－,－,－,－
"106年 7月底","臺北市/ 菲律賓",17,116,5,5733,246
"106年 7月底","臺北市/ 泰國",1,54,805,70,4
"106年 7月底","臺北市/ 越南",6,618,194,1792,7
"106年 7月底","臺北市/ 蒙古",－,－,－,－,－
"106年 7月底","臺北市/ 其他",－,－,－,－,－
"106年 8月底","臺北市/ 印尼",38,212,471,27606,307
"106年 8月底","臺北市/ 馬來西亞",－,－,－,－,－
"106年 8月底","臺北市/ 菲律賓",18,116,5,5798,245
"106年 8月底","臺北市/ 泰國",1,57,791,65,5
"106年 8月底","臺北市/ 越南",4,633,195,1829,7
"106年 8月底","臺北市/ 蒙古",－,－,－,－,－
"106年 8月底","臺北市/ 其他",－,－,－,－,－
"106年 9月底","臺北市/ 印尼",41,211,480,27775,306
"106年 9月底","臺北市/ 馬來西亞",－,－,－,－,－
"106年 9月底","臺北市/ 菲律賓",20,116,1,5848,239
"106年 9月底","臺北市/ 泰國",1,56,761,68,5
"106年 9月底","臺北市/ 越南",5,648,185,1857,6
"106年 9月底","臺北市/ 蒙古",－,－,－,－,－
"106年 9月底","臺北市/ 其他",－,－,－,－,－
"106年 10月底","臺北市/ 印尼",42,209,475,27797,305
"106年 10月底","臺北市/ 馬來西亞",－,－,－,－,－
"106年 10月底","臺北市/ 菲律賓",20,115,－,5861,245
"106年 10月底","臺北市/ 泰國",1,56,716,68,7
"106年 10月底","臺北市/ 越南",6,670,178,1845,6
"106年 10月底","臺北市/ 蒙古",－,－,－,－,－
