場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點
華山1914文化創意產業園區,八德路一段一號,63000050,25.04413,121.529399,觀光旅遊地區,文化園區,紅磚區哨所
剝皮寮歷史街區西側,廣州街151號,63000070,25.036768,121.501879,觀光旅遊地區,文化園區,廣州街155號
國立臺灣師範大學公館校區(汀州路4段88號),汀州路4段88號,63000080,25.007963,121.536905,學校、大型集會場所,大專院校,公館校區學七舍1樓
台北京站威秀影城,市民大道一段209號5F,63000060,25.049369,121.517479,大型休閒場所,電影片映演場所(戲院、電影院),5F大廳
銘傳大學台北校區(士林區中山北路5段),中山北路5段250號,63000110,25.086068,121.527551,學校、大型集會場所,大專院校,男生宿舍2樓
華山1914文化創意產業園區,八德路一段一號,63000050,25.04413,121.529399,觀光旅遊地區,文化園區,側門警衛室
臺北市立中山幼兒園,大直街25號1樓,63000040,25.0819332,121.5467679,其他,其他場所,幼兒園 大門口
台灣水泥股份有限公司,中山北路2段113號,63000040,25.060735,121.52322,其他,其他場所,大廳右側入口
台灣水泥股份有限公司,中山北路2段113號,63000040,25.060735,121.52322,其他,其他場所,3樓前廳
威秀影城股份有限公司信義分公司,松壽路20號,63000020,25.035636,121.567099,大型休閒場所,電影片映演場所(戲院、電影院),2F售票處
中國文化大學 大恩館,華岡路55號,63000110,25.136543,121.538749,學校、大型集會場所,大專院校,大恩館
財團法人國家實驗研究院國家實驗動物中心-台北中心,中南里研究院路1段130巷111號,63000090,25.04703,121.610717,其他,其他場所,國家實驗動物中心1樓大廳
台南海鮮會館,基河路130號B1,63000110,25.089169,121.523022,其他,其他場所,會館大廳櫃檯
臺北市立中崙高級中學,八德路四段101號,63000010,25.049505,121.562213,學校、大型集會場所,高中職,1樓健康中心門口
臺北市立中山國民中學,復興北路361巷7號,63000010,25.060537,121.54535,其他,其他場所,健康中心內
臺北醫學大學 環保暨安全衛生處,吳興街250號,63000020,25.025685,121.561929,學校、大型集會場所,大專院校,綜合大樓
臺北醫學大學 環保暨安全衛生處,吳興街250號,63000020,25.025685,121.561929,學校、大型集會場所,大專院校,體育館
臺北醫學大學 環保暨安全衛生處,吳興街250號,63000020,25.025685,121.561929,學校、大型集會場所,大專院校,拇山學院
臺北市內湖國中,台北市內湖區陽光街1號,63000100,25.077035,121.58869,學校、大型集會場所,國中,學務處走廊
臺北市立麗山高級中學,環山路2段100號,63000100,25.08437,121.577969,學校、大型集會場所,高中職,學務處門口
好市多股份有限公司內湖分公司,舊宗路1段268號,63000100,25.063967,121.576059,大型購物場所,賣場,3樓藥局櫃台旁
臺北市立三民國中,114台北市內湖區民權東路六段45號,63000100,25.0698092,121.5860526,學校、大型集會場所,國中,穿堂
臺北市中山運動中心,中山北路2段44巷2號,63000040,25.054844,121.521326,學校、大型集會場所,健身中心,1樓客梯旁
臺北市立動物園,新光路二段30號,63000080,24.998347,121.581036,其他,其他場所,大門入口服務台
臺北市士林運動中心,士商路一號,63000110,25.089668,121.521411,學校、大型集會場所,健身中心,二樓健身房設施
臺北市內湖運動中心,洲子街12號,63000100,25.078266,121.575229,學校、大型集會場所,健身中心,5樓健身房
好市多股份有限公司內湖分公司,舊宗路1段268號,63000100,25.063967,121.576059,大型購物場所,賣場,1樓賣場大門出入口旁
臺北市公有永樂市場(布業商場),迪化街1段21號,63000060,25.054862,121.51055,其他,其他場所,永樂市場布業商場二樓自治會辦公室
臺北市立仁愛國民中學,仁愛路4段130號,63000030,25.037529,121.550674,其他,其他場所,司令台後方
國立政治大學附屬高級中學,政大一街353號,63000080,24.98668,121.583376,學校、大型集會場所,高中職,籃球場
臺北市龍山寺地下街商場,西園路1段145號 B1 行政中心,63000070,25.036085,121.499544,大型購物場所,地下街,B1 B區廣場
國立臺灣師範大學校本部(和平東路1段162號) ,和平東路1段162號,63000030,25.02603,121.528283,學校、大型集會場所,大專院校,校本部誠大樓5樓走廊
臺北市懷愛館,辛亥路3段330號,63000030,25.013535,121.552553,學校、大型集會場所,殯儀館,第二殯儀館駐警室入口處
臺北市松山區松山國民小學,八德路4段746號,63000010,25.051109,121.579143,其他,其他場所,游泳池
臺北市大同區健康服務中心,昌吉街52號,63000060,25.065792,121.516316,其他,其他場所,大門入口處
士林官邸正館,福林路60號,63000110,25.094898,121.530152,觀光旅遊地區,地方政府主管風景區,正館一樓
臺北市大安區健康服務中心,臥龍里辛亥路三段15號,63000030,25.021577,121.544274,其他,其他場所,1樓服務台
國立政治大學,指南路2段64號,63000080,24.986398,121.574983,學校、大型集會場所,大專院校,百年樓(文學院)1樓門口
臺北孔廟,大龍街275號,63000060,25.072762,121.516179,觀光旅遊地區,文化園區,孔廟明倫堂1樓近劇院
臨江街夜市,大安區臨江街，位於通化街至基隆路口間。,63000030,25.028995,121.552906,其他,其他場所,臺北市大安區臨江街89之5號
保證責任臺北市站前地下街場地利用合作社,忠孝西路1段50-1號 B1,63000050,25.04691,121.51532,大型購物場所,地下街,控制中心門口
臺北市立圖書館總館,建國南路二段125號,63000030,25.029152,121.538369,大型休閒場所,圖書館,總館1樓 (通往2樓樓梯旁)
臺北市懷愛館,辛亥路3段330號,63000030,25.013535,121.552553,學校、大型集會場所,殯儀館,景行樓1F駐警室旁
大同大學,中山北路3段40號,63000040,25.06684013,121.5222096,學校、大型集會場所,大專院校,大同大學警衛室
臺北市公有水源市場,羅斯福路4段92號,63000050,25.013743,121.535005,其他,其他場所,水源市場一樓機房旁走道
天母運動場區棒球場,忠誠路二段77號,63000110,25.113451,121.532875,大型休閒場所,運動場館(如小巨蛋),行政辦公室入口右側
