年份,月份,性別,總計,阿美族數量,泰雅族數量,排灣族數量,布農族數量,魯凱族數量,卑南族數量,鄒族數量,賽夏族數量,雅美族數量,邵族數量,噶瑪蘭族數量,太魯閣族數量,撒奇萊雅族數量,賽德克族數量,拉阿魯哇族數量,卡那卡那富族數量,尚未申報
113,4,計,17684,8390,3102,1838,1173,249,522,187,208,66,33,51,972,38,278,3,0,574
113,4,男,7645,3716,1300,806,502,108,235,76,99,26,8,25,406,15,110,0,0,213
113,4,女,10039,4674,1802,1032,671,141,287,111,109,40,25,26,566,23,168,3,0,361
113,5,計,17870,8462,3134,1869,1186,258,527,186,209,71,42,52,981,39,278,3,0,573
113,5,男,7743,3756,1318,819,510,110,241,74,99,26,11,26,412,16,111,0,0,214
113,5,女,10127,4706,1816,1050,676,148,286,112,110,45,31,26,569,23,167,3,0,359
113,6,計,17967,8494,3153,1878,1194,265,533,186,216,70,42,53,998,39,275,3,0,568
113,6,男,7788,3766,1330,822,512,114,246,73,104,26,11,27,420,16,111,0,0,210
113,6,女,10179,4728,1823,1056,682,151,287,113,112,44,31,26,578,23,164,3,0,358
113,7,計,18082,8536,3173,1886,1206,268,542,186,216,70,42,53,1012,41,280,3,0,568
113,7,男,7838,3784,1339,825,518,116,252,72,104,26,11,27,424,16,113,0,0,211
113,7,女,10244,4752,1834,1061,688,152,290,114,112,44,31,26,588,25,167,3,0,357
113,8,計,18248,8612,3202,1906,1217,267,555,181,216,70,46,53,1027,42,285,3,0,566
113,8,男,7932,3826,1359,834,521,116,255,70,105,26,12,27,438,17,115,0,0,211
113,8,女,10316,4786,1843,1072,696,151,300,111,111,44,34,26,589,25,170,3,0,355
113,9,計,18366,8674,3206,1925,1230,271,559,187,215,71,46,52,1043,41,283,3,0,560
113,9,男,7995,3860,1366,842,525,118,257,73,104,26,12,26,447,16,114,0,0,209
113,9,女,10371,4814,1840,1083,705,153,302,114,111,45,34,26,596,25,169,3,0,351
113,10,計,18407,8690,3209,1933,1242,271,560,186,216,70,46,52,1044,41,287,3,0,557
113,10,男,8015,3867,1376,842,528,117,258,72,104,26,12,26,446,16,116,0,0,209
113,10,女,10392,4823,1833,1091,714,154,302,114,112,44,34,26,598,25,171,3,0,348
