年月,區域別,性別,原住民人口數_合計數量,原住民人口數_平地原住民數量,原住民人口數_山地原住民數量
111年9月,大安區,男,474,260,214
111年9月,大安區,女,625,318,307
111年9月,中山區,計,1376,757,619
111年9月,中山區,男,566,333,233
111年9月,中山區,女,810,424,386
111年9月,中正區,計,747,421,326
111年9月,中正區,男,340,201,139
111年9月,中正區,女,407,220,187
111年9月,大同區,計,762,409,353
111年9月,大同區,男,334,186,148
111年9月,大同區,女,428,223,205
111年9月,萬華區,計,1403,756,647
111年9月,萬華區,男,610,334,276
111年9月,萬華區,女,793,422,371
111年9月,文山區,計,2194,1198,996
111年9月,文山區,男,969,520,449
111年9月,文山區,女,1225,678,547
111年9月,南港區,計,1510,1048,462
111年9月,南港區,男,660,468,192
111年9月,南港區,女,850,580,270
111年9月,內湖區,計,2483,1640,843
111年9月,內湖區,男,1055,719,336
111年9月,內湖區,女,1428,921,507
111年9月,士林區,計,1683,954,729
111年9月,士林區,男,723,420,303
111年9月,士林區,女,960,534,426
111年9月,北投區,計,1705,1017,688
111年9月,北投區,男,723,446,277
111年9月,北投區,女,982,571,411
111年10月,總計,計,16971,9904,7067
111年10月,總計,男,7260,4342,2918
111年10月,總計,女,9711,5562,4149
111年10月,松山區,計,908,501,407
111年10月,松山區,男,371,204,167
111年10月,松山區,女,537,297,240
111年10月,信義區,計,1093,607,486
111年10月,信義區,男,444,255,189
111年10月,信義區,女,649,352,297
111年10月,大安區,計,1099,581,518
111年10月,大安區,男,470,260,210
111年10月,大安區,女,629,321,308
111年10月,中山區,計,1381,759,622
111年10月,中山區,男,566,331,235
111年10月,中山區,女,815,428,387
111年10月,中正區,計,751,424,327
111年10月,中正區,男,341,201,140
111年10月,中正區,女,410,223,187
111年10月,大同區,計,764,410,354
111年10月,大同區,男,333,186,147
111年10月,大同區,女,431,224,207
111年10月,萬華區,計,1405,760,645
111年10月,萬華區,男,607,332,275
111年10月,萬華區,女,798,428,370
111年10月,文山區,計,2194,1195,999
111年10月,文山區,男,968,519,449
111年10月,文山區,女,1226,676,550
111年10月,南港區,計,1513,1052,461
111年10月,南港區,男,659,467,192
111年10月,南港區,女,854,585,269
111年10月,內湖區,計,2479,1639,840
111年10月,內湖區,男,1055,720,335
111年10月,內湖區,女,1424,919,505
111年10月,士林區,計,1688,959,729
111年10月,士林區,男,727,423,304
111年10月,士林區,女,961,536,425
111年10月,北投區,計,1696,1017,679
111年10月,北投區,男,719,444,275
111年10月,北投區,女,977,573,404
111年11月,總計,計,16994,9910,7084
111年11月,總計,男,7268,4339,2929
111年11月,總計,女,9726,5571,4155
111年11月,松山區,計,907,501,406
111年11月,松山區,男,371,204,167
111年11月,松山區,女,536,297,239
111年11月,信義區,計,1084,601,483
111年11月,信義區,男,441,253,188
111年11月,信義區,女,643,348,295
111年11月,大安區,計,1104,582,522
111年11月,大安區,男,473,261,212
111年11月,大安區,女,631,321,310
111年11月,中山區,計,1387,760,627
111年11月,中山區,男,570,331,239
111年11月,中山區,女,817,429,388
111年11月,中正區,計,750,422,328
111年11月,中正區,男,338,199,139
111年11月,中正區,女,412,223,189
111年11月,大同區,計,768,415,353
111年11月,大同區,男,334,187,147
111年11月,大同區,女,434,228,206
111年11月,萬華區,計,1397,759,638
111年11月,萬華區,男,606,331,275
111年11月,萬華區,女,791,428,363
111年11月,文山區,計,2213,1202,1011
111年11月,文山區,男,969,521,448
111年11月,文山區,女,1244,681,563
111年11月,南港區,計,1515,1055,460
111年11月,南港區,男,660,468,192
111年11月,南港區,女,855,587,268
111年11月,內湖區,計,2481,1638,843
111年11月,內湖區,男,1055,718,337
111年11月,內湖區,女,1426,920,506
111年11月,士林區,計,1689,957,732
111年11月,士林區,男,728,421,307
111年11月,士林區,女,961,536,425
111年11月,北投區,計,1699,1018,681
111年11月,北投區,男,723,445,278
111年11月,北投區,女,976,573,403
111年12月,總計,計,16978,9900,7078
111年12月,總計,男,7265,4341,2924
111年12月,總計,女,9713,5559,4154
111年12月,松山區,計,909,501,408
111年12月,松山區,男,372,204,168
111年12月,松山區,女,537,297,240
111年12月,信義區,計,1097,603,494
111年12月,信義區,男,448,255,193
111年12月,信義區,女,649,348,301
111年12月,大安區,計,1102,579,523
111年12月,大安區,男,473,261,212
111年12月,大安區,女,629,318,311
111年12月,中山區,計,1383,762,621
111年12月,中山區,男,568,332,236
111年12月,中山區,女,815,430,385
111年12月,中正區,計,744,423,321
111年12月,中正區,男,337,199,138
111年12月,中正區,女,407,224,183
111年12月,大同區,計,769,416,353
111年12月,大同區,男,337,190,147
111年12月,大同區,女,432,226,206
111年12月,萬華區,計,1393,758,635
111年12月,萬華區,男,606,332,274
111年12月,萬華區,女,787,426,361
111年12月,文山區,計,2211,1203,1008
111年12月,文山區,男,965,520,445
111年12月,文山區,女,1246,683,563
111年12月,南港區,計,1494,1041,453
