year,month,district,gender,total,population_plains,population_mountains
109,9,南港區,女,837,568,269
109,9,南港區,男,668,476,192
109,9,南港區,計,1505,1044,461
109,9,士林區,女,991,552,439
109,9,士林區,男,703,402,301
109,9,士林區,計,1694,954,740
109,9,大同區,女,435,247,188
109,9,大同區,男,326,168,158
109,9,大同區,計,761,415,346
109,9,大安區,女,664,341,323
109,9,大安區,男,481,274,207
109,9,大安區,計,1145,615,530
109,9,文山區,女,1261,673,588
109,9,文山區,男,971,527,444
109,9,文山區,計,2232,1200,1032
109,9,松山區,女,551,306,245
109,9,松山區,男,391,219,172
109,9,松山區,計,942,525,417
109,9,總計,女,9863,5627,4236
109,9,總計,男,7276,4358,2918
109,9,總計,計,17139,9985,7154
109,9,萬華區,女,819,432,387
109,9,萬華區,男,621,330,291
109,9,萬華區,計,1440,762,678
109,10,中山區,女,867,456,411
109,10,中山區,男,568,329,239
109,10,中山區,計,1435,785,650
109,10,中正區,女,409,229,180
109,10,中正區,男,346,208,138
109,10,中正區,計,755,437,318
109,10,信義區,女,678,369,309
109,10,信義區,男,447,255,192
109,10,信義區,計,1125,624,501
109,10,內湖區,女,1405,918,487
109,10,內湖區,男,1051,727,324
109,10,內湖區,計,2456,1645,811
109,10,北投區,女,956,545,411
109,10,北投區,男,706,443,263
109,10,北投區,計,1662,988,674
109,10,南港區,女,837,568,269
109,10,南港區,男,669,476,193
109,10,南港區,計,1506,1044,462
109,10,士林區,女,982,548,434
109,10,士林區,男,707,404,303
109,10,士林區,計,1689,952,737
109,10,大同區,女,432,246,186
109,10,大同區,男,329,171,158
109,10,大同區,計,761,417,344
109,10,大安區,女,666,340,326
109,10,大安區,男,483,275,208
109,10,大安區,計,1149,615,534
109,10,文山區,女,1259,669,590
109,10,文山區,男,975,528,447
109,10,文山區,計,2234,1197,1037
109,10,松山區,女,547,303,244
109,10,松山區,男,386,214,172
109,10,松山區,計,933,517,416
109,10,總計,女,9858,5620,4238
109,10,總計,男,7284,4358,2926
109,10,總計,計,17142,9978,7164
109,10,萬華區,女,820,429,391
109,10,萬華區,男,617,328,289
109,10,萬華區,計,1437,757,680
109,11,中山區,女,863,454,409
109,11,中山區,男,572,331,241
109,11,中山區,計,1435,785,650
109,11,中正區,女,415,236,179
109,11,中正區,男,347,209,138
109,11,中正區,計,762,445,317
109,11,信義區,女,678,368,310
109,11,信義區,男,446,253,193
109,11,信義區,計,1124,621,503
109,11,內湖區,女,1403,916,487
109,11,內湖區,男,1049,726,323
109,11,內湖區,計,2452,1642,810
109,11,北投區,女,955,546,409
109,11,北投區,男,708,445,263
109,11,北投區,計,1663,991,672
109,11,南港區,女,838,567,271
109,11,南港區,男,670,477,193
109,11,南港區,計,1508,1044,464
109,11,士林區,女,978,549,429
109,11,士林區,男,709,405,304
109,11,士林區,計,1687,954,733
109,11,大同區,女,426,243,183
109,11,大同區,男,323,168,155
109,11,大同區,計,749,411,338
109,11,大安區,女,662,336,326
109,11,大安區,男,481,271,210
109,11,大安區,計,1143,607,536
109,11,文山區,女,1252,670,582
109,11,文山區,男,973,530,443
109,11,文山區,計,2225,1200,1025
109,11,松山區,女,546,303,243
109,11,松山區,男,386,214,172
109,11,松山區,計,932,517,415
109,11,總計,女,9842,5620,4222
109,11,總計,男,7279,4356,2923
109,11,總計,計,17121,9976,7145
109,11,萬華區,女,826,432,394
109,11,萬華區,男,615,327,288
109,11,萬華區,計,1441,759,682
109,12,中山區,女,868,458,410
109,12,中山區,男,571,332,239
109,12,中山區,計,1439,790,649
109,12,中正區,女,420,238,182
109,12,中正區,男,351,212,139
109,12,中正區,計,771,450,321
109,12,信義區,女,674,368,306
109,12,信義區,男,443,251,192
109,12,信義區,計,1117,619,498
109,12,內湖區,女,1402,916,486
109,12,內湖區,男,1044,721,323
109,12,內湖區,計,2446,1637,809
109,12,北投區,女,954,548,406
109,12,北投區,男,708,445,263
109,12,北投區,計,1662,993,669
109,12,南港區,女,841,570,271
109,12,南港區,男,675,481,194
109,12,南港區,計,1516,1051,465
109,12,士林區,女,974,546,428
109,12,士林區,男,708,408,300
109,12,士林區,計,1682,954,728
109,12,大同區,女,424,241,183
109,12,大同區,男,325,170,155
109,12,大同區,計,749,411,338
109,12,大安區,女,659,333,326
109,12,大安區,男,484,273,211
109,12,大安區,計,1143,606,537
109,12,文山區,女,1256,670,586
109,12,文山區,男,968,530,438
109,12,文山區,計,2224,1200,1024
109,12,松山區,女,551,307,244
109,12,松山區,男,386,214,172
109,12,松山區,計,937,521,416
109,12,總計,女,9853,5628,4225
109,12,總計,男,7278,4365,2913
109,12,總計,計,17131,9993,7138
109,12,萬華區,女,830,433,397
109,12,萬華區,男,615,328,287
109,12,萬華區,計,1445,761,684
110,1,中山區,女,866,459,407
110,1,中山區,男,578,339,239
110,1,中山區,計,1444,798,646
110,1,中正區,女,421,238,183
110,1,中正區,男,347,208,139
110,1,中正區,計,768,446,322
110,1,信義區,女,674,365,309
110,1,信義區,男,443,250,193
110,1,信義區,計,1117,615,502
110,1,內湖區,女,1399,916,483
110,1,內湖區,男,1042,720,322
110,1,內湖區,計,2441,1636,805
110,1,北投區,女,955,551,404
110,1,北投區,男,709,446,263
110,1,北投區,計,1664,997,667
110,1,南港區,女,833,565,268
110,1,南港區,男,669,477,192
110,1,南港區,計,1502,1042,460
110,1,士林區,女,980,549,431
110,1,士林區,男,708,409,299
110,1,士林區,計,1688,958,730
110,1,大同區,女,420,240,180
110,1,大同區,男,329,172,157
110,1,大同區,計,749,412,337
110,1,大安區,女,655,330,325
110,1,大安區,男,485,277,208
110,1,大安區,計,1140,607,533
110,1,文山區,女,1250,665,585
110,1,文山區,男,965,527,438
110,1,文山區,計,2215,1192,1023
110,1,松山區,女,552,308,244
110,1,松山區,男,388,216,172
110,1,松山區,計,940,524,416
110,1,總計,女,9833,5618,4215
110,1,總計,男,7273,4365,2908
110,1,總計,計,17106,9983,7123
110,1,萬華區,女,828,432,396
110,1,萬華區,男,610,324,286
110,1,萬華區,計,1438,756,682
110,2,中山區,女,860,456,404
110,2,中山區,男,573,339,234
110,2,中山區,計,1433,795,638
110,2,中正區,女,424,239,185
110,2,中正區,男,348,207,141
110,2,中正區,計,772,446,326
110,2,信義區,女,679,366,313
110,2,信義區,男,449,250,199
110,2,信義區,計,1128,616,512
110,2,內湖區,女,1400,911,489
110,2,內湖區,男,1043,719,324
110,2,內湖區,計,2443,1630,813
110,2,北投區,女,954,550,404
110,2,北投區,男,708,444,264
110,2,北投區,計,1662,994,668
110,2,南港區,女,828,563,265
110,2,南港區,男,664,475,189
110,2,南港區,計,1492,1038,454
110,2,士林區,女,981,550,431
110,2,士林區,男,707,409,298
110,2,士林區,計,1688,959,729
110,2,大同區,女,419,239,180
110,2,大同區,男,329,172,157
110,2,大同區,計,748,411,337
110,2,大安區,女,652,329,323
110,2,大安區,男,482,274,208
110,2,大安區,計,1134,603,531
110,2,文山區,女,1246,667,579
110,2,文山區,男,966,531,435
110,2,文山區,計,2212,1198,1014
110,2,松山區,女,554,309,245
110,2,松山區,男,386,214,172
110,2,松山區,計,940,523,417
110,2,總計,女,9824,5609,4215
110,2,總計,男,7265,4360,2905
110,2,總計,計,17089,9969,7120
110,2,萬華區,女,827,430,397
110,2,萬華區,男,610,326,284
110,2,萬華區,計,1437,756,681
110,3,中山區,女,855,456,399
110,3,中山區,男,571,336,235
110,3,中山區,計,1426,792,634
110,3,中正區,女,423,237,186
110,3,中正區,男,347,207,140
110,3,中正區,計,770,444,326
110,3,信義區,女,675,364,311
110,3,信義區,男,441,247,194
110,3,信義區,計,1116,611,505
110,3,內湖區,女,1398,907,491
110,3,內湖區,男,1039,711,328
110,3,內湖區,計,2437,1618,819
110,3,北投區,女,954,549,405
110,3,北投區,男,710,442,268
110,3,北投區,計,1664,991,673
110,3,南港區,女,834,569,265
110,3,南港區,男,665,477,188
110,3,南港區,計,1499,1046,453
110,3,士林區,女,983,553,430
110,3,士林區,男,708,413,295
110,3,士林區,計,1691,966,725
110,3,大同區,女,421,239,182
110,3,大同區,男,335,177,158
110,3,大同區,計,756,416,340
110,3,大安區,女,654,330,324
110,3,大安區,男,481,273,208
110,3,大安區,計,1135,603,532
110,3,文山區,女,1239,664,575
110,3,文山區,男,965,529,436
110,3,文山區,計,2204,1193,1011
110,3,松山區,女,558,310,248
110,3,松山區,男,386,217,169
110,3,松山區,計,944,527,417
110,3,總計,女,9819,5609,4210
110,3,總計,男,7255,4356,2899
110,3,總計,計,17074,9965,7109
110,3,萬華區,女,825,431,394
110,3,萬華區,男,607,327,280
110,3,萬華區,計,1432,758,674
110,4,中山區,女,857,454,403
110,4,中山區,男,555,328,227
110,4,中山區,計,1412,782,630
110,4,中正區,女,421,235,186
110,4,中正區,男,348,208,140
110,4,中正區,計,769,443,326
110,4,信義區,女,674,364,310
110,4,信義區,男,447,253,194
110,4,信義區,計,1121,617,504
110,4,內湖區,女,1390,901,489
110,4,內湖區,男,1037,711,326
110,4,內湖區,計,2427,1612,815
110,4,北投區,女,956,549,407
110,4,北投區,男,713,439,274
110,4,北投區,計,1669,988,681
110,4,南港區,女,833,567,266
110,4,南港區,男,660,472,188
110,4,南港區,計,1493,1039,454
110,4,士林區,女,981,553,428
110,4,士林區,男,707,414,293
110,4,士林區,計,1688,967,721
110,4,大同區,女,425,241,184
110,4,大同區,男,338,181,157
110,4,大同區,計,763,422,341
110,4,大安區,女,660,335,325
110,4,大安區,男,481,273,208
110,4,大安區,計,1141,608,533
110,4,文山區,女,1245,665,580
110,4,文山區,男,971,527,444
110,4,文山區,計,2216,1192,1024
110,4,松山區,女,561,313,248
110,4,松山區,男,389,219,170
110,4,松山區,計,950,532,418
110,4,總計,女,9823,5608,4215
110,4,總計,男,7250,4350,2900
110,4,總計,計,17073,9958,7115
110,4,萬華區,女,820,431,389
110,4,萬華區,男,604,325,279
110,4,萬華區,計,1424,756,668
110,5,中山區,女,858,453,405
110,5,中山區,男,551,325,226
110,5,中山區,計,1409,778,631
110,5,中正區,女,419,233,186
110,5,中正區,男,347,207,140
110,5,中正區,計,766,440,326
110,5,信義區,女,674,364,310
110,5,信義區,男,446,252,194
110,5,信義區,計,1120,616,504
110,5,內湖區,女,1391,902,489
110,5,內湖區,男,1035,710,325
110,5,內湖區,計,2426,1612,814
110,5,北投區,女,953,548,405
110,5,北投區,男,714,439,275
110,5,北投區,計,1667,987,680
110,5,南港區,女,832,564,268
110,5,南港區,男,660,470,190
110,5,南港區,計,1492,1034,458
110,5,士林區,女,981,555,426
110,5,士林區,男,709,417,292
110,5,士林區,計,1690,972,718
110,5,大同區,女,426,240,186
110,5,大同區,男,342,185,157
110,5,大同區,計,768,425,343
110,5,大安區,女,663,335,328
110,5,大安區,男,483,277,206
110,5,大安區,計,1146,612,534
110,5,文山區,女,1237,663,574
110,5,文山區,男,971,522,449
110,5,文山區,計,2208,1185,1023
110,5,松山區,女,565,315,250
110,5,松山區,男,393,221,172
110,5,松山區,計,958,536,422
110,5,總計,女,9818,5603,4215
110,5,總計,男,7255,4350,2905
110,5,總計,計,17073,9953,7120
110,5,萬華區,女,819,431,388
110,5,萬華區,男,604,325,279
110,5,萬華區,計,1423,756,667
110,6,中山區,女,854,451,403
110,6,中山區,男,554,327,227
110,6,中山區,計,1408,778,630
110,6,中正區,女,414,230,184
110,6,中正區,男,348,209,139
110,6,中正區,計,762,439,323
110,6,信義區,女,667,360,307
110,6,信義區,男,447,253,194
110,6,信義區,計,1114,613,501
110,6,內湖區,女,1388,900,488
110,6,內湖區,男,1036,709,327
110,6,內湖區,計,2424,1609,815
110,6,北投區,女,961,553,408
110,6,北投區,男,719,444,275
110,6,北投區,計,1680,997,683
110,6,南港區,女,831,562,269
110,6,南港區,男,655,466,189
110,6,南港區,計,1486,1028,458
110,6,士林區,女,976,551,425
110,6,士林區,男,705,414,291
110,6,士林區,計,1681,965,716
110,6,大同區,女,424,236,188
110,6,大同區,男,340,182,158
110,6,大同區,計,764,418,346
110,6,大安區,女,661,333,328
110,6,大安區,男,482,273,209
110,6,大安區,計,1143,606,537
110,6,文山區,女,1233,660,573
110,6,文山區,男,968,524,444
110,6,文山區,計,2201,1184,1017
110,6,松山區,女,560,311,249
110,6,松山區,男,391,218,173
110,6,松山區,計,951,529,422
110,6,總計,女,9790,5578,4212
110,6,總計,男,7252,4346,2906
110,6,總計,計,17042,9924,7118
110,6,萬華區,女,821,431,390
110,6,萬華區,男,607,327,280
110,6,萬華區,計,1428,758,670
110,7,中山區,女,851,444,407
110,7,中山區,男,553,323,230
110,7,中山區,計,1404,767,637
110,7,中正區,女,415,228,187
110,7,中正區,男,348,209,139
110,7,中正區,計,763,437,326
110,7,信義區,女,664,357,307
110,7,信義區,男,443,252,191
110,7,信義區,計,1107,609,498
110,7,內湖區,女,1394,904,490
110,7,內湖區,男,1037,707,330
110,7,內湖區,計,2431,1611,820
110,7,北投區,女,959,553,406
110,7,北投區,男,721,446,275
110,7,北投區,計,1680,999,681
110,7,南港區,女,832,562,270
110,7,南港區,男,657,468,189
110,7,南港區,計,1489,1030,459
110,7,士林區,女,982,550,432
110,7,士林區,男,710,417,293
110,7,士林區,計,1692,967,725
110,7,大同區,女,422,233,189
110,7,大同區,男,341,182,159
110,7,大同區,計,763,415,348
110,7,大安區,女,661,336,325
110,7,大安區,男,484,274,210
110,7,大安區,計,1145,610,535
110,7,文山區,女,1236,664,572
110,7,文山區,男,964,520,444
110,7,文山區,計,2200,1184,1016
110,7,松山區,女,556,308,248
110,7,松山區,男,389,218,171
110,7,松山區,計,945,526,419
110,7,總計,女,9788,5569,4219
110,7,總計,男,7256,4343,2913
110,7,總計,計,17044,9912,7132
110,7,萬華區,女,816,430,386
110,7,萬華區,男,609,327,282
110,7,萬華區,計,1425,757,668
110,8,中山區,女,852,442,410
110,8,中山區,男,554,323,231
110,8,中山區,計,1406,765,641
110,8,中正區,女,420,233,187
110,8,中正區,男,345,208,137
110,8,中正區,計,765,441,324
110,8,信義區,女,669,358,311
110,8,信義區,男,452,256,196
110,8,信義區,計,1121,614,507
110,8,內湖區,女,1391,900,491
110,8,內湖區,男,1039,704,335
110,8,內湖區,計,2430,1604,826
110,8,北投區,女,957,552,405
110,8,北投區,男,725,449,276
110,8,北投區,計,1682,1001,681
110,8,南港區,女,836,569,267
110,8,南港區,男,661,473,188
110,8,南港區,計,1497,1042,455
110,8,士林區,女,980,547,433
110,8,士林區,男,718,423,295
110,8,士林區,計,1698,970,728
110,8,大同區,女,416,227,189
110,8,大同區,男,345,183,162
110,8,大同區,計,761,410,351
110,8,大安區,女,663,338,325
110,8,大安區,男,482,271,211
110,8,大安區,計,1145,609,536
110,8,文山區,女,1236,668,568
110,8,文山區,男,963,520,443
110,8,文山區,計,2199,1188,1011
110,8,松山區,女,549,306,243
110,8,松山區,男,387,217,170
110,8,松山區,計,936,523,413
110,8,總計,女,9782,5568,4214
110,8,總計,男,7273,4351,2922
110,8,總計,計,17055,9919,7136
110,8,萬華區,女,813,428,385
110,8,萬華區,男,602,324,278
110,8,萬華區,計,1415,752,663
110,9,中山區,女,849,443,406
110,9,中山區,男,545,318,227
110,9,中山區,計,1394,761,633
110,9,中正區,女,418,230,188
110,9,中正區,男,349,212,137
110,9,中正區,計,767,442,325
110,9,信義區,女,663,356,307
110,9,信義區,男,444,249,195
110,9,信義區,計,1107,605,502
110,9,內湖區,女,1401,909,492
110,9,內湖區,男,1043,707,336
110,9,內湖區,計,2444,1616,828
110,9,北投區,女,958,550,408
110,9,北投區,男,732,453,279
110,9,北投區,計,1690,1003,687
110,9,南港區,女,837,569,268
110,9,南港區,男,661,472,189
110,9,南港區,計,1498,1041,457
110,9,士林區,女,983,551,432
110,9,士林區,男,722,426,296
110,9,士林區,計,1705,977,728
110,9,大同區,女,423,228,195
110,9,大同區,男,347,187,160
110,9,大同區,計,770,415,355
110,9,大安區,女,655,333,322
110,9,大安區,男,482,272,210
110,9,大安區,計,1137,605,532
110,9,文山區,女,1235,664,571
110,9,文山區,男,964,520,444
110,9,文山區,計,2199,1184,1015
110,9,松山區,女,549,303,246
110,9,松山區,男,388,217,171
110,9,松山區,計,937,520,417
110,9,總計,女,9778,5560,4218
110,9,總計,男,7276,4357,2919
110,9,總計,計,17054,9917,7137
110,9,萬華區,女,807,424,383
110,9,萬華區,男,599,324,275
110,9,萬華區,計,1406,748,658
110,10,中山區,女,846,441,405
110,10,中山區,男,546,319,227
110,10,中山區,計,1392,760,632
110,10,中正區,女,424,233,191
110,10,中正區,男,350,213,137
110,10,中正區,計,774,446,328
110,10,信義區,女,664,359,305
110,10,信義區,男,447,251,196
110,10,信義區,計,1111,610,501
110,10,內湖區,女,1400,905,495
110,10,內湖區,男,1048,712,336
110,10,內湖區,計,2448,1617,831
110,10,北投區,女,962,551,411
110,10,北投區,男,727,451,276
