name,district,address,category,location_desc
愛悅養護中心,三重區,新北市三重區光復路二段126巷6號,其他,一樓大廳
國都汽車股份有限公司三重服務廠,三重區,新北市三重區溪尾街22號,其他,2樓客戶休息室
新北市政府警察局三重分局永福派出所,三重區,新北市三重區力行路二段162巷53號,其他,1樓進大門右側志工服務台前
三和護理之家,三重區,新北市三重區三和路4段103-2號6樓,其他,新北市三重區三和路4段103-2號6樓
新北市三重區永福國民小學,三重區,新北市三重區永福街66號,學校、大型集會場所,學校大門警衛室
新北市立三和國民中學,三重區,新北市三重區三和路四段216號,學校、大型集會場所,音樂廳大門入口處
新北市立三和國民中學,三重區,新北市三重區三和路四段216號,學校、大型集會場所,警衛室門口
香港商世界健身事業有限公司三重五華分公司,三重區,新北市三重區五華街282號4樓(世界健身),學校、大型集會場所,洽談區
新北市立圖書館三重東區分館,三重區,新北市三重區溪尾街303號,大型休閒場所,1樓雜誌報紙閱覽區
裕信汽車股份有限公司 集賢分公司,三重區,新北市三重區集賢路195號,其他,客戶休息室
新北市立新北高級中學,三重區,新北市三重區三信路1號,學校、大型集會場所,學務處前走廊
新北市三重區五華國民小學,三重區,新北市三重區集賢路89號,學校、大型集會場所,本校集賢路大門警衛室內
三重分局厚德派出所,三重區,新北市三重區三和路三段186號,其他,三重分局厚德派出所
穀保學校財團法人新北市穀保高級家事商業職業學校,三重區,新北市三重區中正北路560巷38號,學校、大型集會場所,健康中心
健身工廠三重廠,三重區,新北市三重區龍門路6號2-3F,學校、大型集會場所,新北市三重區龍門路6號2-3F
新北市立三重高級商工職業學校,三重區,新北市三重區中正北路163號,學校、大型集會場所,弘道樓1樓總務處旁側門(事務倉庫前)
新北市立三重高級商工職業學校,三重區,新北市三重區中正北路163號,學校、大型集會場所,商科大樓4樓國貿科辦公室
新北市立三重高級商工職業學校,三重區,新北市三重區中正北路163號,學校、大型集會場所,警衛室
新北市立光榮國民中學,三重區,新北市三重區介壽路26號,學校、大型集會場所,本校大門口警衛室
新北市政府警察局三重分局大同派出所,三重區,新北市三重區大同南路155號,其他,派出所1樓
香港商世界健身事業有限公司三重分公司,三重區,新北市三重區重新路二段78號1樓,學校、大型集會場所,1樓客服櫃台旁
冠德美麗台北社區,三重區,新北市三重區重新路一段108號,其他,一樓大門左側
新北市政府警察局三重分局長泰派出所,三重區,新北市三重區仁愛街15號,其他,新北市政府警察局三重分局長泰派出所一樓
新北市立圖書館三重崇德分館,三重區,新北市三重區仁孝街62號2樓,大型休閒場所,2樓參考書區旁
新北市政府警察局三重分局中興橋派出所,三重區,新北市三重區成功路21號,其他,派出所一樓
一起健身有限公司,三重區,新北市三重區重新路4段12號B1,其他,場館
Forge打鐵健身三重店,三重區,新北市三重區仁愛街479號2樓,學校、大型集會場所,2F健身區
新北市立圖書館三重分館,三重區,新北市三重區自強路一段158號,大型休閒場所,一樓櫃台
新北市立圖書館三重分館,三重區,新北市三重區自強路一段158號,大型休閒場所,三樓自修室
新北市政府警察局三重分局慈福派出所,三重區,新北市三重區仁愛街519號,其他,派出所一樓
東海中學學校財團法人新北市東海高級中學,三重區,新北市三重區忠孝路三段93巷12號,學校、大型集會場所,健康中心前
新北市三重區重陽國民小學,三重區,新北市三重區中正北路113號,學校、大型集會場所,校內穿堂
新北市立聯合醫院,三重區,新北市三重區新北市三重區新北大道1段3號,其他,新北市立聯合醫院5樓健檢中心大門左側
新北市立圖書館三重培德分館,三重區,新北市三重區新北市三重區忠孝路2段35號,大型休閒場所,新北市立圖書館三重培德分館
新北市立碧華國民中學,三重區,新北市三重區三信路166號,學校、大型集會場所,警衛室
新北市三重區正義國民小學,三重區,新北市三重區信義西街31號,學校、大型集會場所,一樓川堂
新北市政府警察局三重分局光明派出所,三重區,新北市三重區過圳街46號,其他,派出所一樓
三愛停車場有限公司三重小巨蛋營業所,三重區,新北市三重區新北大道一段2號,其他,綜合體育館B1
新北市三重區厚德國民小學,三重區,新北市三重區忠孝路一段70號,學校、大型集會場所,厚德國小
中華郵政股份有限公司三重郵局,三重區,新北市三重區新北大道1段17號,其他,新北市三重區新北大道一段17號1樓 (後門警衛室內)
新北市立圖書館三重田中分館,三重區,新北市三重區忠孝路3段40巷51號2樓,大型休閒場所,新北市立圖書館三重田中分館
新北市立圖書館三重五常分館,三重區,新北市三重區五華街7巷30號2樓,大型休閒場所,新北市三重區五華街7巷30號2樓
瓦城三重店,三重區,新北市三重區正義北路95號1-2F,其他,瓦城三重店
新北市果菜運銷股份有限公司,三重區,新北市三重區中正北路111號,其他,行政辦公室旁
新北市政府警察局交通警察大隊三重分隊,三重區,新北市三重區光復路二段175號,其他,一樓進大門左側
新北市金陵女子高級中學,三重區,新北市三重區重新路五段656號,學校、大型集會場所,厚生樓一樓川堂
新北市政府警察局三重分局二重派出所,三重區,新北市三重區重新路五段406號,其他,所長辦公室外面
社團法人台灣全民計程車司機協會,三重區,新北市三重區光復路二段168之2號,其他,服務中心內部
家福股份有限公司重新分公司,三重區,新北市三重區重新路5段654號,大型購物場所,1F星巴克旁
翌朔股份有限公司,三重區,新北市三重區光復路二段196巷8號之一,其他,廠房
翌朔股份有限公司,三重區,新北市三重區光復路二段196巷8號之一,其他,1樓
全虹企業股份有限公司(北區維修中心),三重區,新北市三重區重新路五段609巷14號10樓之11,其他,全虹大門入口處
新北市政府警察局三重分局三重派出所,三重區,新北市三重區重新路1段43號,其他,派出所一樓
三愛停車場有限公司永福營業所,三重區,新北市三重區永福街66號地下1、2層,其他,永福國小地下停車場B1
新北市政府警察局三重分局重陽派出所,三重區,新北市三重區集賢路163號,其他,派出所一樓
融程電訊股份有限公司,三重區,新北市三重區興德路111-6號,其他,贏翼大樓9樓(女廁門口右邊)
新北市政府稅捐稽徵處三重分處,三重區,新北市三重區重陽路一段115號,其他,本分處大門入口左側
新北市三重國民運動中心,三重區,新北市三重區集美街55號,學校、大型集會場所,一樓大廳電梯廳旁
新北市三重國民運動中心,三重區,新北市三重區集美街55號,學校、大型集會場所,一樓泳池置物櫃旁
新北市三重國民運動中心,三重區,新北市三重區集美街55號,學校、大型集會場所,二樓大廳充電站旁
捷運環狀線Y22施工站,三重區,新北市三重區集賢路,交通要衝,捷運環狀線Y22施工站
捷運環狀線Y23施工站,三重區,新北市三重區集賢路,交通要衝,捷運環狀線Y23施工站
維德文理語文短期補習班國中部,三重區,新北市三重區忠孝路一段131號,學校、大型集會場所,維德補習班國中部門口
弘聖車業,三重區,新北市三重區重陽路三段7-1號,其他,老闆辦公桌旁牆上
新北市政府警察局三重分局,三重區,新北市三重區重新路三段147號,其他,一樓大廳入門口左側
新北市政府警察局三重分局大有派出所,三重區,新北市三重區中正北路402號,其他,進大門左側
新北市私立格致高級中學,三重區,新北市三重區大智街260號,學校、大型集會場所,操場化學實驗室前走廊
新北市私立格致高級中學,三重區,新北市三重區大智街260號,學校、大型集會場所,保健中心
三重球場,三重區,新北市三重區水樣路一段300號,其他,醫務室
新北市三重區光榮國民小學,三重區,新北市三重區介壽路32號,學校、大型集會場所,光榮國小健康中心
新北市三重區重新橋下計程車司機休息中心,三重區,新北市三重區疏洪十六路3-1號,其他,司機休息中心辦公室
活力健身工作室,三重區,新北市三重區重安街56號,其他,置物櫃
成吉思汗健身俱樂部三重旗艦館,三重區,新北市三重區捷運路11號,學校、大型集會場所,B1多功能訓練區旁
成吉思汗健身俱樂部三重旗艦館,三重區,新北市三重區捷運路11號,學校、大型集會場所,1樓教室前走廊
福德里辦公處,三重區,新北市三重區重新路四段244巷7弄20號,其他,福德里辦公處
7-11便利商店,三重區,新北市三重區成功路106-2號1樓,大型購物場所,7-11便利商店門口
全家便利商店,三重區,新北市三重區成功路145巷47號1樓,大型購物場所,全家便利商店門口
元信開發工程有限公司,三重區,新北市三重區仁義街91號,其他,辦公室內
三重淡水河畔停車場,三重區,新北市三重區停車場票亭,其他,停車場票亭
新北市立聯合醫院,三重區,新北市三重區新北市三重區新北大道1段3號,其他,新北大道1段3號後棟2樓牙科門診對面
藍天大樓,三重區,新北市三重區興德路129號,其他,藍天大樓一樓接待櫃檯旁
新北市立三和國民中學,三重區,新北市三重區三和路四段216號,學校、大型集會場所,自強樓1樓教師辦公室門口之牆邊
湯城園區2號大樓,三重區,新北市三重區重新路5段609巷2號8樓之2,其他,1樓大廳
新北市三重區碧華國民小學,三重區,新北市三重區五華街160號,學校、大型集會場所,警衛室
新北市三重區玫瑰平面停車場,三重區,新北市三重區集美街57號對面,其他,自動繳費機旁
