機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目
寶興護理之家,A30200006,A3,新北市,新店區,新北市新店區寶興路39號2樓至4樓、41號2樓至5樓,121.5491333008,24.9742088318,B,喘息服務
寶興護理之家-新店寶福據點(醫事C),A30200174,A3,新北市,新店區,新北市新店區寶福里寶興路39號1樓,121.5491333008,24.9742088318,B,喘息服務
寶興護理之家-新店寶福據點(醫事C),A30200174,A3,新北市,新店區,新北市新店區寶福里寶興路39號1樓,121.5491333008,24.9742088318,C,巷弄長照站
寶護企業社附設新北市私立寶護居家長照機構,1X0200021,1,新北市,蘆洲區,新北市蘆洲區恆德里中山二路12號2樓,121.4753417969,25.0819358826,A,個案管理服務
寶護企業社附設新北市私立寶護居家長照機構,1X0200021,1,新北市,蘆洲區,新北市蘆洲區恆德里中山二路12號2樓,121.4753417969,25.0819358826,B,喘息服務;居家服務
小驢駒小客車租賃有限公司,BA0200020,BA,新北市,新莊區,新北市新莊區復興路三段196巷2弄9之3號,121.4617843628,25.0450134277,B,交通接送服務(DA01)
小驢駒小客車租賃有限公司,BF0200060,BF,新北市,新莊區,新北市新莊區復興路二段196巷2弄9-3號,121.4589538574,25.0440597534,B,交通接送服務
小驢駒小客車租賃有限公司(屏東縣),BA0200018,BA,新北市,新莊區,新北市新莊區復興路2段196巷2弄9之3號,121.4589614868,25.0440979004,B,交通接送服務
居芮股份有限公司附設新北市私立和芮居家長照機構,1V0200008,1,新北市,新店區,新北市新店區中興路三段138號9樓之1,121.5446548462,24.9803009033,A,個案管理服務
居芮股份有限公司附設新北市私立和芮居家長照機構,1V0200008,1,新北市,新店區,新北市新店區中興路三段138號9樓之1,121.5446548462,24.9803009033,B,居家服務;喘息服務
居達居家職能治療所,B50200016,B5,新北市,汐止區,新北市汐止區復興里023鄰新台五路一段159號12樓,121.6537704468,25.062417984,B,專業照護服務;專業照護服務(CC01)
崇文診所,B20200254,B2,新北市,鶯歌區,新北市鶯歌區國慶街141號,121.3509674072,24.9535503387,B,居家失能個案家庭醫師照護服務
巴歌浪,BF0200069,BF,新北市,中和區,新北市中和區連和里建康路270號4樓,121.4929962158,25.0001068115,C,巷弄長照站
常樂企業有限公司(新北),BA0200033,BA,新北市,新店區,新北市新店區民權路153號4樓,121.534362793,24.9826583862,B,交通接送服務(DA01)
幸福時光居家護理所,B10200100,B1,新北市,三重區,新北市三重區捷運路19巷13號1樓及15號1樓,121.4850463867,25.057050705,B,專業照護服務
幼恩診所,B20200256,B2,新北市,深坑區,新北市深坑區北深路三段173號,121.6017150879,25.0034942627,B,居家失能個案家庭醫師照護服務
庭芳居家護理所,B10200031,B1,新北市,三重區,新北市三重區成功路110號2樓之20,121.4870605469,25.0516357422,B,專業照護服務
康健家庭醫學科診所,B20200207,B2,新北市,鶯歌區,新北市鶯歌區建國路231號,121.3485183716,24.9534130096,B,居家失能個案家庭醫師照護服務
康健小客車租賃有限公司,BB0200001,BA,新北市,三峽區,新北市三峽區中正路一段26號,121.3758773804,24.9310398102,B,交通接送服務(DA01)
康園護理之家,A30200029,A3,新北市,新店區,新北市新店區安興路91巷31號1至5樓,121.5142364502,24.9746894836,B,日間照顧服務;喘息服務
康恬長照事業有限公司附設新北市私立康恬居家長照機構,1V0200123,1,新北市,三重區,新北市三重區同安東街76號1樓,121.4985733032,25.0574550629,B,居家服務;喘息服務
康杏銀髮事業股份有限公司附設新北市私立康杏銀髮居家長照機構,1V0200057,1,新北市,中和區,新北市中和區中山路二段296號14樓之4,121.4836196899,25.0080986023,B,居家服務;喘息服務
康禾護理之家,A30200059,A3,新北市,鶯歌區,新北市鶯歌區建國路85號8樓,121.3530502319,24.9539718628,B,喘息服務
康齡永安居家物理治療所,B40200003,B4,新北市,永和區,新北市永和區店街里福和路389號2樓之4,121.5141220093,25.0077114105,B,專業照護服務(CC01);專業照護服務
康齡聯合健康事業股份有限公司附設新北市私立康齡家美社區長照機構,2V0200005,2,新北市,中和區,新北市中和區連和里17鄰中山路2段327巷3號5樓,121.4934082031,25.00141716,B,日間照顧服務;喘息服務
廣全診所,B20200096,B2,新北市,土城區,新北市土城區學成路2號1樓,121.4538879395,24.9866123199,B,居家失能個案家庭醫師照護服務
廣川醫院,B20200002,B2,新北市,土城區,新北市土城區裕民路276號,121.4549713135,24.9823818207,B,專業照護服務
廣權護理之家,A30200004,A3,新北市,板橋區,新北市板橋區廣權路6號2樓、5樓,121.4605102539,24.9908809662,B,喘息服務
弘一診所,B20200213,B2,新北市,蘆洲區,新北市蘆洲區重陽街82號1樓,121.4820251465,25.0844326019,B,居家失能個案家庭醫師照護服務
微笑長照整合服務股份有限公司附設新北市私立微笑居家長照機構,1V0200029,1,新北市,泰山區,新北市泰山區新明里民國街48號1樓,121.4498977661,25.0378360748,B,居家服務;喘息服務
微笑長照整合服務股份有限公司附設新北市私立微笑居家長照機構-泰山新明據點(醫事C),1V0200047,1,新北市,泰山區,新北市泰山區新明里民國街48號1樓,121.4258117676,25.0437030792,B,喘息服務
微笑長照整合服務股份有限公司附設新北市私立微笑居家長照機構-泰山新明據點(醫事C),1V0200047,1,新北市,泰山區,新北市泰山區新明里民國街48號1樓,121.4258117676,25.0437030792,C,巷弄長照站
微笑關懷健康有限公司附設新北市私立馨悅居家長照機構,1V0200065,1,新北市,永和區,新北市永和區福和路309巷20弄9號1樓,121.5146102905,25.0109806061,B,居家服務;喘息服務
德安婦產科診所,B20200071,B2,新北市,新莊區,新北市新莊區新泰路31號,121.4495773315,25.0331459045,B,居家失能個案家庭醫師照護服務
德興診所(醫事C),B20200076,B2,新北市,蘆洲區,新北市蘆洲區仁德里三民路26巷31弄10號及12號1樓,121.4760055542,25.0873088837,C,巷弄長照站
心悅居家長照有限公司附設新北市私立心悅居家長照機構,1V0200024,1,新北市,汐止區,新北市汐止區大同里大同路二段322巷8號1樓,121.6564712524,25.066444397,B,喘息服務;居家服務
志安診所,B20200190,B2,新北市,新莊區,新北市新莊區幸福路521號,121.4556503296,25.0492801666,B,居家失能個案家庭醫師照護服務
忠孝復健專科診所,B20200102,B2,新北市,林口區,新北市林口區文化二路一段527號,121.373550415,25.0761375427,A,個案管理服務
忠孝復健專科診所,B20200102,B2,新北市,林口區,新北市林口區文化二路一段527號,121.373550415,25.0761375427,B,專業照護服務;專業照護服務(CC01)
忠祥居家護理所,B10200027,B1,新北市,中和區,新北市中和區 中山路二段144號1樓 ,121.5019073486,25.0031528473,A,個案管理服務
忠祥居家護理所,B10200027,B1,新北市,中和區,新北市中和區 中山路二段144號1樓 ,121.5019073486,25.0031528473,B,專業照護服務
思暮長期照護有限公司附設新北市私立思暮居家長照機構,1V0200129,1,新北市,新店區,新北市新店區北新路二段262號3樓之3,121.5429077148,24.9783344269,B,居家服務;喘息服務
恆愛實業有限公司附設新北市私立恆愛居家長照機構,1V0200109,1,新北市,三重區,新北市三重區重新路四段89號10樓A室,121.4861297607,25.0555782318,B,喘息服務;居家服務
恩耆股份有限公司附設新北市私立惠澤居家長照機構,1R0200014,1,新北市,板橋區,新北市板橋區新興里南雅南路一段3巷4號2樓,121.4563217163,25.0062465668,B,居家服務;喘息服務;專業照護服務
悠康事業有限公司附設新北市私立悠康居家長照機構,1V0200023,1,新北市,三重區,新北市三重區自強路三段61號2樓,121.4445343018,25.0336742401,A,個案管理服務
悠康事業有限公司附設新北市私立悠康居家長照機構,1V0200023,1,新北市,三重區,新北市三重區自強路三段61號2樓,121.4445343018,25.0336742401,B,喘息服務;居家服務
惠恩居家職能治療所,B50200013,B5,新北市,金山區,新北市金山區仁愛路19號1樓,121.637550354,25.2191791534,B,專業照護服務(CC01);專業照護服務
惠生活事業股份有限公司附設新北市私立惠生活居家長照機構,1V0200104,1,新北市,板橋區,新北市板橋區中山路一段10號11樓1150室,121.4601211548,25.0079612732,B,喘息服務;居家服務
愛佳生活居家護理所-樹林圳福據點(醫事C),B10200092,B1,新北市,樹林區,新北市樹林區圳福里千歲街61巷12弄28號1樓,121.4268569946,24.9987945557,B,喘息服務
愛佳生活股份有限公司附設新北市私立樹林愛佳生活社區長照機構,2V0200004,2,新北市,樹林區,新北市樹林區三龍里2鄰中正路632巷1號3樓,121.4103240967,25.016418457,B,小規模多機能服務;日間照顧服務;喘息服務
愛寧居家護理所,B10200113,B1,新北市,新莊區,新北市新莊區新北大道四段179號10樓之7,121.4459152222,25.0583133698,B,專業照護服務
愛寧診所,B20200260,B2,新北市,新莊區,新北市新莊區中央路289號4樓,121.4524002075,25.058675766,B,居家失能個案家庭醫師照護服務;專業照護服務
愛樂親子診所,B20200219,B2,新北市,蘆洲區,新北市蘆洲區長樂路168號1樓,121.4626083374,25.0909729004,B,居家失能個案家庭醫師照護服務
愛無限整合服務有限公司附設新北市私立愛無限居家長照機構,1V0200040,1,新北市,新店區,新北市新店區中興路二段67巷11號1樓,121.5217971802,24.9861030579,B,專業照護服務;居家服務;喘息服務
愛無限整合服務有限公司附設新北市私立愛無限居家長照機構(醫事C),1V0200049,1,新北市,新店區,新北市新店區國校里3鄰北宜路一段76號1樓,121.5384979248,24.9557590485,C,巷弄長照站
慈家居家護理所,B10200106,B1,新北市,林口區,新北市林口區文化三路一段39巷283號12樓,121.3603134155,25.0687713623,B,專業照護服務;居家失能個案家庭醫師照護服務
慈益長照社團法人附設新北市私立慈益住宿長照機構,3R0200002,3,新北市,汐止區,新北市汐止區勤進路83巷3號,121.6625976562,25.0588932037,B,喘息服務
慈英居家護理所,B10200075,B1,新北市,泰山區,新北市泰山區貴子路9巷10弄6號,121.4255828857,25.0426712036,B,專業照護服務
慈馨健康有限公司附設新北市私立康乃馨居家長照機構,1V0200099,1,新北市,蘆洲區,新北市蘆洲區環堤大道174號4樓,121.4564590454,25.0899047852,B,喘息服務;居家服務
慧民居家護理所,B10200102,B1,新北市,三峽區,新北市三峽區龍埔里三樹路7巷3號1樓,121.376701355,24.9374008179,B,專業照護服務
承源資業股份有限公司附設新北市私立聯恩居家長照機構,1V0200098,1,新北市,三重區,新北市三重區重陽路三段115號2樓,121.4907684326,25.0685806274,B,居家服務;喘息服務
承濤有限公司附設新北市私立承濤居家長照機構,1R0200090,1,新北市,樹林區,新北市樹林區中山路1段42號3樓,121.4238128662,24.9923343658,B,喘息服務;居家服務
承羲有限公司附設新北市私立承羲居家長照機構,1V0200113,1,新北市,板橋區,新北市板橋區文化路一段329號4樓(A05室),121.4663085938,25.0206661224,B,居家服務;喘息服務
抵家長期照顧股份有限公司附設新北市私立抵家居家長照機構,1V0200089,1,新北市,三重區,新北市三重區三民街317巷1號,121.4909591675,25.0805015564,B,居家服務;喘息服務
拾光健康事業有限公司附設新北市私立拾光居家長照機構,1V0200107,1,新北市,新莊區,新北市新莊區中華路二段7號6樓(YS402),121.4535293579,25.0453166962,B,居家服務;喘息服務
擁心健康事業有限公司附設新北市私立瓏寶居家式長照機構,1R0200079,1,新北市,淡水區,新北市淡水區民權路111號3樓B03室,121.4602661133,25.137462616,B,居家服務;喘息服務
敏家診所,B20200092,B2,新北市,三峽區,新北市三峽區復興路106、108號1~2樓,121.3726348877,24.9378223419,B,居家失能個案家庭醫師照護服務
新北仁康醫院,B20200044,B2,新北市,新店區,新北市新店區安康路二段323號,121.4996490479,24.9555416107,B,專業照護服務
新北仁康醫院附設護理之家,A30200058,A3,新北市,新店區,新北市新店區安康路二段323號3樓及325號,121.4997406006,24.9555587769,B,喘息服務
新北市三峽區中埔里辦公處(社照C),BG0200071,BG,新北市,三峽區,新北市三峽區中埔里大同路266-268號1樓,121.3655395508,24.9253463745,C,巷弄長照站
新北市三峽區二鬮里辦公處(社照C),BG0200070,BG,新北市,三峽區,新北市三峽區大埔里中正路二段449號,121.3627548218,24.9067001343,C,巷弄長照站
新北市三峽區八張里辦公處(社照C),BG0200084,BG,新北市,三峽區,新北市三峽區八張里清水街434號1樓,121.3685073853,24.9256191254,C,巷弄長照站
新北市三峽區原住民族發展協進會(社照C),BF0200047,BF,新北市,三峽區,新北市三峽區鳶山里介壽里中山路257巷35號7樓,121.3624343872,24.937335968,C,巷弄長照站
新北市三峽區溪東社區發展協會(社照C),BF0200325,BF,新北市,三峽區,新北市三峽區溪東里溪東路218巷1號1樓,121.4076538086,24.9316616058,C,巷弄長照站
新北市三峽區老人會(溪北站)(社照C),BF0200271,BF,新北市,三峽區,新北市三峽區溪北里介壽路三段148號1-2樓,121.4013137817,24.943189621,C,巷弄長照站
新北市三峽區老人會(秀川站)(社照C),BF0200290,BF,新北市,三峽區,新北市三峽區秀川里忠孝街25之5號1樓、2樓,121.3711700439,24.9342727661,C,巷弄長照站
新北市三峽區衛生所,B20200090,B2,新北市,三峽區,新北市三峽區光明路71號3樓,121.3761291504,24.9282970428,B,居家失能個案家庭醫師照護服務
新北市三峽區鳶山里辦公處(社照C),BG0200066,BG,新北市,三峽區,新北市三峽區鳶山里大勇路36巷2號、2-1號1-2樓,121.3667831421,24.9372901917,C,巷弄長照站
新北市三芝區樂天社區發展協會(社照C),BF0200160,BF,新北市,三芝區,新北市三芝區興華里楓子林47-1號,121.5017776489,25.2066745758,C,巷弄長照站
新北市三芝區衛生所,B20200064,B2,新北市,三芝區,新北市三芝區埔坪里中山路一段12號,121.5038299561,25.2564544678,A,個案管理服務
新北市三芝區衛生所,B20200064,B2,新北市,三芝區,新北市三芝區埔坪里中山路一段12號,121.5038299561,25.2564544678,B,居家失能個案家庭醫師照護服務
新北市三芝區衛生所(醫事C),B20200241,B2,新北市,三芝區,新北市三芝區埔坪里民生街31號3樓,121.5035629272,25.256401062,C,巷弄長照站
新北市三重區三民里辦公處(社照C),BF0200296,BF,新北市,三重區,新北市三重區三民里重陽路二段34巷11號1樓,121.4865875244,25.0633392334,C,巷弄長照站
新北市三重區中山里辦公處(設照C),BG0200092,BG,新北市,三重區,新北市三重區中山里4鄰大同北路34巷11號1樓,121.4946136475,25.0624732971,C,巷弄長照站
新北市三重區五常里辦公處(社照C),BF0200281,BF,新北市,三重區,新北市三重區五常里仁義街157巷96號1樓,121.4990005493,25.0820465088,C,巷弄長照站
新北市三重區五順里辦公處(社照C),BF0200297,BF,新北市,三重區,新北市三重區五順里仁義街211巷13號1樓,121.4973678589,25.0821380615,C,巷弄長照站
新北市三重區六合里辦公處(社照C),BF0200305,BF,新北市,三重區,新北市三重區六合里自強路二段50巷22號1樓,121.4883499146,25.0694217682,C,巷弄長照站
新北市三重區厚德里辦公處(社照C),BF0200260,BF,新北市,三重區,新北市三重區厚德里三和路三段170巷49號,121.4908370972,25.0726795197,C,巷弄長照站
新北市三重區培德里辦公處(社照C),BF0200282,BF,新北市,三重區,新北市三重區培德里忠孝路二段35號B1,121.4859695435,25.0715084076,C,巷弄長照站
新北市三重區富華里辦公處(社照C),BF0200274,BF,新北市,三重區,新北市三重區富華里五華街109號,121.4915084839,25.0839672089,C,巷弄長照站
新北市三重區慈祐里辦公處(社照C),BF0200287,BF,新北市,三重區,新北市三重區慈祐里仁愛街425巷9之1號,121.490852356,25.0818138123,C,巷弄長照站
新北市三重區成功里辦公處(社照C),BF0200280,BF,新北市,三重區,新北市三重區成功里昌隆街36號,121.4917144775,25.0518836975,C,巷弄長照站
新北市三重區正安里辦公處(社照C),BF0200288,BF,新北市,三重區,新北市三重區正安里大智街45-2號4樓,121.4934387207,25.0666027069,C,巷弄長照站
新北市三重區民俗文化協會(社照C),BF0200010,BF,新北市,三重區,新北市三重區承德里龍門路272-1號3樓,121.501449585,25.0741767883,C,巷弄長照站
新北市三重區永吉里辦公處(社照C),BF0200279,BF,新北市,三重區,新北市三重區永吉里自強路三段110巷15-2號1樓,121.4864349365,25.0747756958,C,巷弄長照站
新北市三重區永安里辦公處(社照C),BF0200256,BF,新北市,三重區,新北市三重區永安里力行路二段63巷7號,121.4826965332,25.0748710632,C,巷弄長照站
新北市三重區永煇里辦公處(社照C),BF0200312,BF,新北市,三重區,新北市三重區永煇里力行路二段9巷6號1樓,121.482673645,25.0722293854,C,巷弄長照站
新北市三重區永發里辦公處(社照C),BF0200298,BF,新北市,三重區,新北市三重區永發里中正北路193巷45號2樓,121.4755859375,25.0710811615,C,巷弄長照站
新北市三重區永興里辦公處(社照C),BF0200318,BF,新北市,三重區,新北市三重區永興里福德南路8巷20號,121.5037307739,25.063659668,C,巷弄長照站
新北市三重區溪美里辦公處(社照C),BF0200273,BF,新北市,三重區,新北市三重區溪美里仁政街82號,121.4925918579,25.0775909424,C,巷弄長照站
新北市三重區瑞德里辦公處(設照C),BG0200093,BG,新北市,三重區,新北市三重區瑞德里仁昌街83號1樓,121.499168396,25.0748119354,C,巷弄長照站
新北市三重區田中里辦公處(社照C),BF0200201,BF,新北市,三重區,新北市三重區田中里忠孝路三段40巷51號,121.4831390381,25.0655384064,C,巷弄長照站
新北市三重區福民里辦公處(社照C),BF0200310,BF,新北市,三重區,新北市三重區福民里環河南路221巷40號1樓,121.4907836914,25.0528297424,C,巷弄長照站
新北市三重區自強里辦公處(社照C),BF0200278,BF,新北市,三重區,新北市三重區自強里正義北路256巷133號,121.4932403564,25.0678424835,C,巷弄長照站
新北市三重區衛生所,B20200059,B2,新北市,三重區,新北市三重區中山里新北大道一段一號,121.491394043,25.0611915588,B,居家失能個案家庭醫師照護服務
新北市三重區錦通里辦公處(社照C),BF0200263,BF,新北市,三重區,新北市三重區錦通里中央北路26號4樓,121.5008010864,25.0643234253,C,巷弄長照站
新北市三重區開元里辦公處(社照C),BF0200264,BF,新北市,三重區,新北市三重區開元里開元街1號,121.5035476685,25.0665798187,C,巷弄長照站
新北市三重活躍樂齡協會(社照C),BF0200189,BF,新北市,三重區,新北市三重區重明里重陽路1段60巷101號1樓,121.4846420288,25.0581874847,C,巷弄長照站
新北市中和區世紀皇家管理委員會,BF0200208,BF,新北市,中和區,新北市中和區力行里連勝街9號,121.4991149902,24.9985313416,C,巷弄長照站
新北市中和區壽德里辦公處(社照C),BG0200043,BG,新北市,中和區,新北市中和區壽德里華順街138號,121.4646759033,24.9960746765,C,巷弄長照站
新北市中和區安穗里辦公處(社照C),BG0200088,BG,新北市,中和區,新北市中和區安穗里員山路294巷7號1樓,121.481842041,25.0024681091,C,巷弄長照站
新北市中和區山北社區發展協會(社照c),BG0200079,BG,新北市,中和區,新北市中和區福美里莊敬路49巷29弄2號1樓,121.5016784668,25.0064601898,C,巷弄長照站
新北市中和區崇南里辦公處(社照C),BG0200086,BG,新北市,中和區,新北市中和區崇南里景新街496巷35弄1號2樓,121.5135955811,24.9856529236,C,巷弄長照站
新北市中和區廟美里辦公處(社照C),BG0200065,BG,新北市,中和區,新北市中和區廟美里廟美街6巷3號5樓,121.5012054443,25.0015220642,C,巷弄長照站
新北市中和區忠孝里辦公處(社照c),BG0200080,BG,新北市,中和區,新北市中和區忠孝里忠孝街31巷1號1樓,121.5103759766,24.9831485748,C,巷弄長照站
新北市中和區慈心關懷協會(社照C),BF0200212,BF,新北市,中和區,新北市中和區員山里員山路466巷19號,121.480758667,25.006685257,C,巷弄長照站
新北市中和區明德里辦公處(社照C),BG0200039,BG,新北市,中和區,新北市中和區明德里民德路311號2樓,121.4673461914,24.9947834015,C,巷弄長照站
新北市中和區景平里辦公處(社照C),BG0200090,BG,新北市,中和區,新北市中和區景平里景平路159巷2號B1,121.5125198364,24.992307663,C,巷弄長照站
新北市中和區碧湖社區發展協會(社照C),BF0200012,BF,新北市,中和區,新北市中和區錦昌里圓通路367巷15-1號4樓、5樓,121.492225647,24.9883556366,C,巷弄長照站
新北市中和區福南里辦公處(社照C),BG0200078,BG,新北市,中和區,新北市中和區福南里興南路二段34巷60號,121.5046691895,24.9885597229,C,巷弄長照站
新北市中和區福和里辦公處,BG0200077,BG,新北市,中和區,新北市中和區福和里中山路二段131巷,121.5025634766,25.0020980835,C,巷弄長照站
新北市中和區福美里辦公處(社照C),BF0200266,BF,新北市,中和區,新北市中和區福美里勝利路35巷9弄4號1樓,121.4995574951,25.0069923401,C,巷弄長照站
新北市中和區秀義里辦公處(社照C),BG0200072,BG,新北市,中和區,新北市中和區秀義里秀朗路三段66巷23號,121.5255584717,24.9946308136,C,巷弄長照站
新北市中和區積穗里辦公處(社照C),BG0200089,BG,新北市,中和區,新北市中和區積穗里員山路394巷5號1樓,121.4808654785,25.0046844482,C,巷弄長照站
新北市中和區莒東社區發展協會(社照C),BF0200251,BF,新北市,中和區,新北市中和區民有里民享街37號2樓,121.4741287231,25.003572464,C,巷弄長照站
新北市中和區莒西社區發展協會(社照C),BF0200136,BF,新北市,中和區,新北市中和區自強里莒光路200號之3,121.4720230103,24.9988994598,C,巷弄長照站
新北市中和區衛生所,B20200081,B2,新北市,中和區,新北市中和區南山路4巷3號,121.5016403198,24.9986915588,B,居家失能個案家庭醫師照護服務
新北市中和區連和里辦公處(社照C),BF0200211,BF,新北市,中和區,新北市中和區連和里連城路54號,121.4980392456,25.0018844604,C,巷弄長照站
新北市中華藝術交流推廣協會(土城頂埔分站),BF0200319,BF,新北市,土城區,新北市土城區頂埔里中央路4段188號1樓,121.4163513184,24.9578819275,C,巷弄長照站
新北市丰恩社會關懷協會(社照C),BF0200291,BF,新北市,三重區,新北市三重區碧華里集智街5號,0.0,0.0,C,巷弄長照站
新北市五股區五股社區發展協會,BF0200246,BF,新北市,五股區,新北市五股區民義里工商路127號1樓,121.4610443115,25.0203838348,C,巷弄長照站
新北市五股區成州社區發展協會(社照C),BF0200014,BF,新北市,五股區,新北市五股區成州里西雲路267號,121.4493408203,25.0980892181,C,巷弄長照站
新北市五股區衛生所,B20200112,B2,新北市,五股區,新北市五股區新城三路11號,121.4476394653,25.0942363739,B,居家失能個案家庭醫師照護服務
新北市五股區貿商社區發展協會(社照C),BF0200013,BF,新北市,五股區,新北市五股區貿商里登林路貿商巷8弄10號,121.4311218262,25.0706214905,C,巷弄長照站
新北市光塩愛心關懷協會(社照C),BF0200178,BF,新北市,新莊區,新北市新莊區立廷里立信三街25-3號1樓,121.4421157837,25.0504112244,C,巷弄長照站
新北市全能銀色樂活關懷協會(社照C),BF0200183,BF,新北市,新莊區,新北市新莊區民安里民安西路38巷19號,121.4267578125,25.0205574036,C,巷弄長照站
新北市八德愛心關懷協會(社照C),BF0200226,BF,新北市,板橋區,新北市板橋區忠翠里雙十路二段47巷2弄33號,121.4750213623,25.0266990662,C,巷弄長照站
新北市八里區大崁里辦公處(社照C),BG0200034,BG,新北市,八里區,新北市八里區大崁里中山路一段21號,121.4220962524,25.1589241028,C,巷弄長照站
新北市八里區衛生所,B20200065,B2,新北市,八里區,新北市八里區舊城里舊城路16號,121.4001312256,25.146522522,A,個案管理服務
新北市八里區衛生所,B20200065,B2,新北市,八里區,新北市八里區舊城里舊城路16號,121.4001312256,25.146522522,B,居家失能個案家庭醫師照護服務
新北市原住民家庭關懷協會,BF0200073,BF,新北市,汐止區,新北市汐止區山光里樟樹一路137巷26號2樓,121.6416931152,25.0693473816,C,巷弄長照站
新北市土城區平和社區發展協會,BF0200330,BF,新北市,土城區,新北市土城區平和里延和路156巷7號1樓,121.4684677124,24.9899501801,C,巷弄長照站
新北市土城區延吉社區發展協會(社照C),BF0200199,BF,新北市,土城區,新北市土城區延吉里延吉街113號,121.471244812,24.9865779877,C,巷弄長照站
新北市土城區日新里辦公處(社照C),BF0200159,BF,新北市,土城區,新北市土城區日新里裕生路100巷7號,121.4462051392,24.9850902557,C,巷弄長照站
新北市土城區永寧社區發展協會(社照C),BF0200117,BF,新北市,土城區,新北市土城區永平街1號,121.4275360107,24.9634571075,C,巷弄長照站
新北市土城區清化里辦公處-土城清和據點(社照C),BG0200007,BG,新北市,土城區,新北市土城區清和里青雲路368號4樓,121.4586029053,24.9738388062,B,喘息服務
新北市土城區祖田里辦公處-土城祖田據點(社照C),BF0200002,BF,新北市,土城區,新北市土城區祖田里溪頭路129號,121.4127578735,24.9539470673,B,喘息服務
新北市土城區祖田里辦公處-土城祖田據點(社照C),BF0200002,BF,新北市,土城區,新北市土城區祖田里溪頭路129號,121.4127578735,24.9539470673,C,巷弄長照站
新北市土城區衛生所,B20200229,B2,新北市,土城區,新北市土城區和平路26號,121.4431915283,24.9728565216,B,居家失能個案家庭醫師照護服務
新北市土城區長風社區發展協會,BF0200332,BF,新北市,土城區,新北市土城區長風里順風路27號,121.4403457642,24.976852417,C,巷弄長照站
新北市土城區雲溪社區發展協會(社照C),BF0200011,BF,新北市,土城區,新北市土城區清溪里清水路243號1樓,121.4614944458,24.9834327698,C,巷弄長照站
新北市土城區青山里辦公處(社照C),BF0200326,BF,新北市,土城區,新北市土城區青山里明德路一段74-1號,121.4644470215,24.9803085327,C,巷弄長照站
新北市土城區頂欣社區發展協會(社照C),BF0200143,BF,新北市,土城區,新北市土城區頂新里中央路四段283-1號1樓,121.4118347168,24.95271492,C,巷弄長照站
新北市坪林區老人會(社照C),BF0200102,BF,新北市,坪林區,新北市坪林區大林里逮魚堀33-4號,121.6978607178,24.9253921509,C,巷弄長照站
新北市坪林區衛生所,B20200020,B2,新北市,坪林區,新北市坪林區坪林街104號,121.7116546631,24.9359226227,A,個案管理服務
新北市坪林區衛生所,B20200020,B2,新北市,坪林區,新北市坪林區坪林街104號,121.7116546631,24.9359226227,B,居家失能個案家庭醫師照護服務;交通接送服務
新北市多元智能老幼暨兒童教育發展協會(三峽站)(社照C),BF0200186,BF,新北市,三峽區,新北市三峽區安溪里中正路一段200號,121.3723220825,24.9281044006,C,巷弄長照站
新北市多元智能老幼暨兒童教育發展協會(社照C),BF0200098,BF,新北市,中和區,新北市中和區福善里景平路736巷5弄2號,121.4975280762,25.003364563,C,巷弄長照站
新北市多元智能老幼暨兒童教育發展協會(鶯歌站)(社照C),BF0200141,BF,新北市,鶯歌區,新北市鶯歌區鳳福里福隆一街14號,121.3255310059,24.9716682434,C,巷弄長照站
新北市大德愛心推廣協會,BF0200327,BF,新北市,板橋區,新北市板橋區國光里16鄰國光路76號1樓,121.4583358765,25.0177612305,C,巷弄長照站
新北市大新板愛心關懷協會(板橋懷翠站)(社照C),BE0200073,BE,新北市,板橋區,新北市板橋區懷翠里懷德街191巷26弄1號,121.4806671143,25.0297641754,C,巷弄長照站
新北市大有忘年協會(社照C),BF0200191,BF,新北市,三重區,新北市三重區二重里疏洪東路2段131號,121.4752655029,25.0666103363,C,巷弄長照站
新北市大社后愛心關懷協會(北極壇)(社照C),BF0200128,BF,新北市,板橋區,新北市板橋區社後里中正路80巷1弄1號1樓,121.4569396973,25.0150051117,C,巷弄長照站
新北市大社后愛心關懷協會(板橋民權站)(社照C),BF0200163,BF,新北市,板橋區,新北市板橋區民權里民權路202巷9弄39號1樓,121.459312439,25.0156364441,C,巷弄長照站
新北市奇布施老人養生協會(社照C),BF0200059,BF,新北市,新店區,新北市新店區信義里寶興里寶慶街10號23樓-1,121.5434646606,24.9869728088,C,巷弄長照站
新北市山上樂齡才藝長照協會(社照C),BF0200311,BF,新北市,三重區,新北市三重區長泰里長樂街55-2號1樓,121.5005722046,25.0692234039,C,巷弄長照站
新北市崇德光慧經典教育推廣協會(廣福站),BF0200333,BF,新北市,土城區,新北市土城區廣福里學府路一段23巷21之1號,121.4579086304,24.9870052338,C,巷弄長照站
新北市崇德光慧經典教育推廣協會(社照C),BF0200164,BF,新北市,土城區,新北市土城區中華路一段36號6樓,121.4463043213,24.9897232056,C,巷弄長照站
新北市市敏動齡健康關懷協會(板橋文化站) (社照C),BF0200276,BF,新北市,板橋區,新北市板橋區文化里光武街48巷47弄7號2樓,121.4679718018,25.0273208618,C,巷弄長照站
新北市市敏動齡健康關懷協會(泰山全興站),BF0200277,BF,新北市,泰山區,新北市泰山區全興里仁義路11巷1號,121.4322509766,25.0556182861,C,巷弄長照站
